Date Time          ,Battery Voltage
2019-01-15 17:38:44,8.46
2019-01-15 17:38:56,8.48
2019-01-15 17:39:08,8.48
2019-01-15 17:39:20,8.46
2019-01-15 17:39:32,8.46
2019-01-15 17:39:44,8.46
2019-01-15 17:39:56,8.46
2019-01-15 17:40:08,8.46
2019-01-15 17:40:20,8.47
2019-01-15 17:40:32,8.45
2019-01-15 17:40:44,8.46
2019-01-15 17:40:56,8.45
2019-01-15 17:41:08,8.47
2019-01-15 17:41:20,8.45
2019-01-15 17:41:32,8.46
2019-01-15 17:41:44,8.47
2019-01-15 17:41:56,8.46
2019-01-15 17:42:08,8.46
2019-01-15 17:42:20,8.45
2019-01-15 17:42:32,8.45
2019-01-15 17:42:44,8.46
2019-01-15 17:42:56,8.45
2019-01-15 17:43:08,8.46
2019-01-15 17:43:20,8.45
2019-01-15 17:43:32,8.44
2019-01-15 17:43:44,8.45
2019-01-15 17:43:56,8.46
2019-01-15 17:44:08,8.45
2019-01-15 17:44:20,8.46
2019-01-15 17:44:32,8.45
2019-01-15 17:44:44,8.46
2019-01-15 17:44:56,8.44
2019-01-15 17:45:08,8.46
2019-01-15 17:45:20,8.44
2019-01-15 17:45:32,8.47
2019-01-15 17:45:44,8.46
2019-01-15 17:45:56,8.46
2019-01-15 17:46:08,8.45
2019-01-15 17:46:20,8.46
2019-01-15 17:46:33,8.46
2019-01-15 17:46:45,8.44
2019-01-15 17:46:57,8.46
2019-01-15 17:47:09,8.46
2019-01-15 17:47:21,8.46
2019-01-15 17:47:33,8.44
2019-01-15 17:47:45,8.46
2019-01-15 17:47:57,8.45
2019-01-15 17:48:09,8.46
2019-01-15 17:48:21,8.46
2019-01-15 17:48:33,8.45
2019-01-15 17:48:45,8.43
2019-01-15 17:48:57,8.46
2019-01-15 17:49:09,8.44
2019-01-15 17:49:21,8.43
2019-01-15 17:49:33,8.46
2019-01-15 17:49:45,8.45
2019-01-15 17:49:57,8.45
2019-01-15 17:50:09,8.44
2019-01-15 17:50:21,8.44
2019-01-15 17:50:33,8.44
2019-01-15 17:50:45,8.46
2019-01-15 17:50:57,8.44
2019-01-15 17:51:09,8.45
2019-01-15 17:51:21,8.45
2019-01-15 17:51:33,8.45
2019-01-15 17:51:45,8.44
2019-01-15 17:51:57,8.46
2019-01-15 17:52:09,8.46
2019-01-15 17:52:21,8.44
2019-01-15 17:52:33,8.43
2019-01-15 17:52:45,8.44
2019-01-15 17:52:57,8.43
2019-01-15 17:53:09,8.46
2019-01-15 17:53:21,8.45
2019-01-15 17:53:33,8.44
2019-01-15 17:53:45,8.46
2019-01-15 17:53:57,8.43
2019-01-15 17:54:09,8.43
2019-01-15 17:54:21,8.43
2019-01-15 17:54:33,8.43
2019-01-15 17:54:45,8.44
2019-01-15 17:54:57,8.43
2019-01-15 17:55:09,8.44
2019-01-15 17:55:21,8.45
2019-01-15 17:55:33,8.44
2019-01-15 17:55:45,8.43
2019-01-15 17:55:57,8.44
2019-01-15 17:56:09,8.44
2019-01-15 17:56:21,8.44
2019-01-15 17:56:33,8.42
2019-01-15 17:56:45,8.42
2019-01-15 17:56:57,8.43
2019-01-15 17:57:09,8.42
2019-01-15 17:57:21,8.45
2019-01-15 17:57:33,8.45
2019-01-15 17:57:45,8.43
2019-01-15 17:57:57,8.44
2019-01-15 17:58:09,8.42
2019-01-15 17:58:21,8.41
2019-01-15 17:58:33,8.45
2019-01-15 17:58:45,8.41
2019-01-15 17:58:57,8.42
2019-01-15 17:59:09,8.43
2019-01-15 17:59:21,8.42
2019-01-15 17:59:33,8.42
2019-01-15 17:59:45,8.44
2019-01-15 17:59:57,8.41
2019-01-15 18:00:09,8.43
2019-01-15 18:00:21,8.46
2019-01-15 18:00:33,8.42
2019-01-15 18:00:45,8.44
2019-01-15 18:00:57,8.44
2019-01-15 18:01:09,8.42
2019-01-15 18:01:21,8.42
2019-01-15 18:01:33,8.43
2019-01-15 18:01:45,8.42
2019-01-15 18:01:57,8.43
2019-01-15 18:02:09,8.42
2019-01-15 18:02:21,8.43
2019-01-15 18:02:33,8.42
2019-01-15 18:02:45,8.42
2019-01-15 18:02:57,8.42
2019-01-15 18:03:09,8.41
2019-01-15 18:03:22,8.43
2019-01-15 18:03:34,8.39
2019-01-15 18:03:46,8.4
2019-01-15 18:03:58,8.4
2019-01-15 18:04:10,8.42
2019-01-15 18:04:22,8.41
2019-01-15 18:04:34,8.43
2019-01-15 18:04:46,8.41
2019-01-15 18:04:58,8.43
2019-01-15 18:05:10,8.41
2019-01-15 18:05:22,8.41
2019-01-15 18:05:34,8.43
2019-01-15 18:05:46,8.42
2019-01-15 18:05:58,8.41
2019-01-15 18:06:10,8.43
2019-01-15 18:06:22,8.4
2019-01-15 18:06:34,8.39
2019-01-15 18:06:46,8.41
2019-01-15 18:06:58,8.41
2019-01-15 18:07:10,8.41
2019-01-15 18:07:22,8.41
2019-01-15 18:07:34,8.41
2019-01-15 18:07:46,8.41
2019-01-15 18:07:58,8.39
2019-01-15 18:08:10,8.41
2019-01-15 18:08:22,8.42
2019-01-15 18:08:34,8.39
2019-01-15 18:08:46,8.41
2019-01-15 18:08:58,8.41
2019-01-15 18:09:10,8.4
2019-01-15 18:09:22,8.42
2019-01-15 18:09:34,8.35
2019-01-15 18:09:46,8.39
2019-01-15 18:09:58,8.4
2019-01-15 18:10:10,8.41
2019-01-15 18:10:22,8.42
2019-01-15 18:10:34,8.4
2019-01-15 18:10:46,8.41
2019-01-15 18:10:58,8.42
2019-01-15 18:11:10,8.42
2019-01-15 18:11:22,8.39
2019-01-15 18:11:34,8.39
2019-01-15 18:11:46,8.4
2019-01-15 18:11:58,8.4
2019-01-15 18:12:10,8.35
2019-01-15 18:12:22,8.39
2019-01-15 18:12:34,8.38
2019-01-15 18:12:46,8.4
2019-01-15 18:12:58,8.41
2019-01-15 18:13:10,8.39
2019-01-15 18:13:22,8.4
2019-01-15 18:13:34,8.41
2019-01-15 18:13:46,8.4
2019-01-15 18:13:58,8.41
2019-01-15 18:14:10,8.4
2019-01-15 18:14:22,8.4
2019-01-15 18:14:34,8.36
2019-01-15 18:14:46,8.39
2019-01-15 18:14:58,8.38
2019-01-15 18:15:10,8.39
2019-01-15 18:15:22,8.39
2019-01-15 18:15:34,8.39
2019-01-15 18:15:46,8.39
2019-01-15 18:15:58,8.39
2019-01-15 18:16:10,8.4
2019-01-15 18:16:22,8.39
2019-01-15 18:16:34,8.41
2019-01-15 18:16:46,8.39
2019-01-15 18:16:58,8.39
2019-01-15 18:17:10,8.4
2019-01-15 18:17:22,8.39
2019-01-15 18:17:34,8.41
2019-01-15 18:17:46,8.38
2019-01-15 18:17:58,8.4
2019-01-15 18:18:10,8.38
2019-01-15 18:18:22,8.39
2019-01-15 18:18:34,8.39
2019-01-15 18:18:46,8.39
2019-01-15 18:18:58,8.4
2019-01-15 18:19:10,8.39
2019-01-15 18:19:22,8.39
2019-01-15 18:19:34,8.4
2019-01-15 18:19:46,8.4
2019-01-15 18:19:58,8.39
2019-01-15 18:20:10,8.4
2019-01-15 18:20:22,8.39
2019-01-15 18:20:34,8.4
2019-01-15 18:20:46,8.38
2019-01-15 18:20:58,8.41
2019-01-15 18:21:10,8.4
2019-01-15 18:21:22,8.39
2019-01-15 18:21:35,8.39
2019-01-15 18:21:47,8.39
2019-01-15 18:21:59,8.39
2019-01-15 18:22:11,8.39
2019-01-15 18:22:23,8.39
2019-01-15 18:22:35,8.39
2019-01-15 18:22:47,8.37
2019-01-15 18:22:59,8.39
2019-01-15 18:23:11,8.38
2019-01-15 18:23:23,8.39
2019-01-15 18:23:35,8.39
2019-01-15 18:23:47,8.38
2019-01-15 18:23:59,8.39
2019-01-15 18:24:11,8.39
2019-01-15 18:24:23,8.38
2019-01-15 18:24:35,8.38
2019-01-15 18:24:47,8.38
2019-01-15 18:24:59,8.38
2019-01-15 18:25:11,8.39
2019-01-15 18:25:23,8.39
2019-01-15 18:25:35,8.37
2019-01-15 18:25:47,8.39
2019-01-15 18:25:59,8.36
2019-01-15 18:26:11,8.39
2019-01-15 18:26:23,8.38
2019-01-15 18:26:35,8.39
2019-01-15 18:26:47,8.37
2019-01-15 18:26:59,8.38
2019-01-15 18:27:11,8.38
2019-01-15 18:27:23,8.37
2019-01-15 18:27:35,8.37
